Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-01 17:03:58.6, 96.61633, 1.614862, 200, 99.87305
2017-09-01 17:04:13.7, 96.82608, 1.614106, 200, 99.87598
2017-09-01 17:04:28.9, 96.80759, 1.614173, 200, 99.88013
2017-09-01 17:04:44.0, 96.82834, 1.614098, 200, 99.8772
2017-09-01 17:04:59.0, 96.64777, 1.614749, 200, 99.87744
2017-09-01 17:05:14.1, 96.75555, 1.61436, 200, 99.87769
2017-09-01 17:05:29.1, 96.58813, 1.614964, 200, 99.87134
2017-09-01 17:05:44.2, 96.73218, 1.614444, 200, 99.87354
2017-09-01 17:05:59.2, 96.7114, 1.614519, 200, 99.87549
2017-09-01 17:06:14.3, 96.73245, 1.614443, 200, 99.87476
2017-09-01 17:06:29.4, 96.77744, 1.614281, 200, 99.87329
2017-09-01 17:06:44.4, 96.81244, 1.614155, 200, 99.87354
2017-09-01 17:06:59.5, 96.70462, 1.614544, 200, 99.87158
2017-09-01 17:07:14.6, 96.73999, 1.614416, 200, 99.87476
2017-09-01 17:07:29.7, 96.6828, 1.614622, 200, 99.87183
2017-09-01 17:07:44.8, 96.66373, 1.614691, 200, 99.87085
2017-09-01 17:07:59.8, 96.7771, 1.614282, 200, 99.87354
2017-09-01 17:08:14.9, 96.67252, 1.61466, 200, 99.87158
2017-09-01 17:08:30.0, 96.74835, 1.614386, 200, 99.87012
2017-09-01 17:08:45.1, 96.28293, 1.616066, 200, 99.87183
2017-09-01 17:09:00.2, 96.28525, 1.616057, 200, 99.86328
2017-09-01 17:09:15.2, 96.24048, 1.616219, 200, 99.87109
2017-09-01 17:09:30.3, 95.95688, 1.617244, 200, 99.87012
2017-09-01 17:09:45.4, 95.88269, 1.617512, 200, 99.86841
2017-09-01 17:10:00.4, 96.00049, 1.617086, 200, 99.8667
2017-09-01 17:10:15.5, 96.19275, 1.616391, 200, 99.86938
2017-09-01 17:10:30.6, 96.18066, 1.616435, 200, 99.8689
2017-09-01 17:10:45.7, 96.31302, 1.615957, 200, 99.8689
2017-09-01 17:11:00.7, 96.23926, 1.616223, 200, 99.86646
2017-09-01 17:11:15.8, 96.23703, 1.616231, 200, 99.86621
2017-09-01 17:11:30.9, 96.30237, 1.615995, 200, 99.8645
2017-09-01 17:11:46.0, 96.47742, 1.615363, 200, 99.86304
2017-09-01 17:12:01.0, 96.27216, 1.616104, 200, 99.86768
2017-09-01 17:12:16.1, 96.15555, 1.616526, 200, 99.86841
2017-09-01 17:12:31.2, 96.25977, 1.616149, 200, 99.86548
2017-09-01 17:12:46.3, 96.1774, 1.616447, 200, 99.86768
2017-09-01 17:13:01.4, 96.03656, 1.616956, 200, 99.8645
2017-09-01 17:13:16.5, 96.07849, 1.616804, 200, 99.86816
2017-09-01 17:13:31.5, 96.05823, 1.616878, 200, 99.86548
2017-09-01 17:13:46.6, 95.92401, 1.617363, 200, 99.86743
2017-09-01 17:14:01.7, 95.99628, 1.617102, 200, 99.86377
2017-09-01 17:14:16.8, 95.60995, 1.6185, 200, 99.86499
2017-09-01 17:14:31.9, 95.59811, 1.618543, 200, 99.86597
2017-09-01 17:14:47.0, 95.79153, 1.617842, 200, 99.8667
2017-09-01 17:15:02.1, 95.51498, 1.618844, 200, 99.86377
2017-09-01 17:15:17.1, 95.63348, 1.618415, 200, 99.86304
2017-09-01 17:15:32.2, 95.50742, 1.618872, 200, 99.86621
2017-09-01 17:15:47.3, 95.31805, 1.619558, 200, 99.86621
2017-09-01 17:16:02.4, 95.00604, 1.620691, 200, 99.86426
2017-09-01 17:16:17.4, 95.0697, 1.62046, 200, 99.86475
2017-09-01 17:16:32.5, 94.78934, 1.621479, 200, 99.86011
2017-09-01 17:16:47.6, 94.60916, 1.622134, 200, 99.86353
2017-09-01 17:17:02.7, 94.52792, 1.62243, 200, 99.86084
2017-09-01 17:17:17.7, 94.46875, 1.622645, 200, 99.86157
2017-09-01 17:17:32.8, 94.1662, 1.623748, 200, 99.86279
2017-09-01 17:17:47.9, 94.09952, 1.623991, 200, 99.86377
2017-09-01 17:18:03.0, 93.97464, 1.624447, 200, 99.8584
2017-09-01 17:18:18.0, 93.81378, 1.625034, 200, 99.8645
2017-09-01 17:18:33.0, 93.60059, 1.625813, 200, 99.86353
2017-09-01 17:18:48.1, 93.40439, 1.626531, 200, 99.85767
2017-09-01 17:19:03.2, 93.29193, 1.626942, 200, 99.86377
2017-09-01 17:19:18.3, 93.19794, 1.627287, 200, 99.86035
2017-09-01 17:19:33.3, 93.05319, 1.627817, 200, 99.85962
2017-09-01 17:19:48.4, 92.8941, 1.6284, 200, 99.86157
2017-09-01 17:20:03.5, 92.59784, 1.629487, 200, 99.86133
2017-09-01 17:20:18.6, 92.31592, 1.630523, 200, 99.8584
2017-09-01 17:20:33.6, 92.24246, 1.630794, 200, 99.8606
2017-09-01 17:20:48.7, 92.052, 1.631494, 200, 99.85791
2017-09-01 17:21:03.8, 91.95496, 1.631852, 200, 99.85913
2017-09-01 17:21:18.9, 91.48306, 1.633592, 200, 99.85791
2017-09-01 17:21:33.9, 91.37204, 1.634002, 200, 99.8584
2017-09-01 17:21:49.0, 91.30234, 1.634259, 200, 99.85449
2017-09-01 17:22:04.1, 91.37592, 1.633987, 200, 99.85718
2017-09-01 17:22:19.2, 90.83701, 1.63598, 200, 99.85864
2017-09-01 17:22:34.2, 90.81711, 1.636053, 200, 99.85425
2017-09-01 17:22:49.3, 90.63367, 1.636733, 200, 99.86035
2017-09-01 17:23:04.4, 90.36905, 1.637714, 200, 99.85596
2017-09-01 17:23:19.5, 90.34372, 1.637808, 200, 99.85913
2017-09-01 17:23:34.5, 90.19406, 1.638363, 200, 99.86133
2017-09-01 17:23:49.6, 90.10327, 1.6387, 200, 99.86084
2017-09-01 17:24:04.7, 89.93274, 1.639334, 200, 99.85571
2017-09-01 17:24:19.8, 89.70889, 1.640166, 200, 99.85986
2017-09-01 17:24:34.8, 89.40793, 1.641287, 200, 99.8584
2017-09-01 17:24:49.9, 89.10074, 1.642432, 200, 99.86206
2017-09-01 17:25:05.0, 88.75204, 1.643734, 200, 99.85986
2017-09-01 17:25:20.1, 88.91373, 1.64313, 200, 99.85938
2017-09-01 17:25:35.2, 88.5322, 1.644556, 200, 99.85986
2017-09-01 17:25:50.2, 88.55945, 1.644454, 200, 99.85742
2017-09-01 17:26:05.3, 88.32776, 1.645321, 200, 99.85815
2017-09-01 17:26:20.4, 88.27005, 1.645537, 200, 99.85815
2017-09-01 17:26:35.5, 87.95587, 1.646715, 200, 99.85864
2017-09-01 17:26:50.5, 87.64737, 1.647873, 200, 99.86108
2017-09-01 17:27:05.6, 87.67401, 1.647773, 200, 99.8562
2017-09-01 17:27:20.7, 87.56781, 1.648172, 200, 99.85522
2017-09-01 17:27:35.7, 87.39392, 1.648825, 200, 99.85742
2017-09-01 17:27:50.8, 87.19278, 1.649582, 200, 99.85815
2017-09-01 17:28:05.9, 86.84796, 1.650881, 200, 99.85547
2017-09-01 17:28:21.0, 86.39694, 1.652583, 200, 99.85767
2017-09-01 17:28:36.1, 86.18314, 1.653391, 200, 99.85596
2017-09-01 17:28:51.1, 86.05862, 1.653862, 200, 99.85352
2017-09-01 17:29:06.2, 86.30563, 1.652928, 200, 99.85376
2017-09-01 17:29:21.3, 86.28186, 1.653017, 200, 99.85596
2017-09-01 17:29:36.4, 86.93253, 1.650562, 200, 99.85303
2017-09-01 17:29:51.4, 87.40298, 1.648791, 200, 99.85767
2017-09-01 17:30:06.5, 87.68494, 1.647732, 200, 99.85571
2017-09-01 17:30:21.6, 88.198, 1.645807, 200, 99.854
2017-09-01 17:30:36.7, 88.66473, 1.644061, 200, 99.85278
2017-09-01 17:30:51.8, 89.31598, 1.64163, 200, 99.85327
2017-09-01 17:31:06.8, 89.4924, 1.640972, 200, 99.85498
2017-09-01 17:31:21.9, 89.94052, 1.639305, 200, 99.85376
2017-09-01 17:31:37.0, 90.38763, 1.637645, 200, 99.85132
2017-09-01 17:31:52.1, 90.63211, 1.636739, 200, 99.85254
2017-09-01 17:32:07.1, 91.04019, 1.635228, 200, 99.85229
2017-09-01 17:32:22.2, 91.37665, 1.633985, 200, 99.85181
2017-09-01 17:32:37.3, 91.43988, 1.633751, 200, 99.85303
2017-09-01 17:32:52.3, 91.62646, 1.633062, 200, 99.854
2017-09-01 17:33:07.4, 92.02921, 1.631578, 200, 99.84985
2017-09-01 17:33:22.5, 92.04285, 1.631528, 200, 99.85132
2017-09-01 17:33:37.6, 91.99747, 1.631695, 200, 99.85278
2017-09-01 17:33:52.7, 92.50473, 1.629829, 200, 99.85034
2017-09-01 17:34:07.8, 92.51938, 1.629776, 200, 99.84839
2017-09-01 17:34:22.8, 92.5997, 1.629481, 200, 99.84985
2017-09-01 17:34:37.9, 92.67285, 1.629212, 200, 99.85205
2017-09-01 17:34:52.9, 92.76059, 1.62889, 200, 99.85181
2017-09-01 17:35:08.0, 92.95981, 1.628159, 200, 99.8501
2017-09-01 17:35:23.1, 93.2475, 1.627105, 200, 99.85132
2017-09-01 17:35:38.2, 93.47598, 1.626269, 200, 99.84888
2017-09-01 17:35:53.3, 93.52814, 1.626078, 200, 99.84839
2017-09-01 17:36:08.3, 93.59058, 1.62585, 200, 99.85059
2017-09-01 17:36:23.4, 93.65274, 1.625623, 200, 99.84888
2017-09-01 17:36:38.5, 93.65793, 1.625604, 200, 99.84912
2017-09-01 17:36:53.6, 93.8772, 1.624802, 200, 99.84717
2017-09-01 17:37:08.7, 93.9957, 1.62437, 200, 99.84839
2017-09-01 17:37:23.7, 94.12784, 1.623888, 200, 99.84814
2017-09-01 17:37:38.8, 94.05264, 1.624162, 200, 99.84912
2017-09-01 17:37:53.9, 93.97919, 1.62443, 200, 99.84839
2017-09-01 17:38:08.9, 94.45581, 1.622693, 200, 99.85229
2017-09-01 17:38:24.0, 94.46359, 1.622664, 200, 99.84619
2017-09-01 17:38:39.1, 94.66541, 1.62193, 200, 99.84717
2017-09-01 17:38:54.2, 94.78568, 1.621492, 200, 99.84814
2017-09-01 17:39:09.3, 95.24307, 1.61983, 200, 99.84619
2017-09-01 17:39:24.3, 94.92181, 1.620997, 200, 99.85181
2017-09-01 17:39:39.4, 94.78152, 1.621507, 200, 99.84692
2017-09-01 17:39:54.5, 94.89508, 1.621094, 200, 99.84912
2017-09-01 17:40:09.6, 94.8757, 1.621165, 200, 99.84937
2017-09-01 17:40:24.6, 94.68185, 1.62187, 200, 99.85034
2017-09-01 17:40:39.7, 94.74551, 1.621638, 200, 99.84497
2017-09-01 17:40:54.8, 94.82074, 1.621365, 200, 99.84985
2017-09-01 17:41:09.8, 94.63599, 1.622037, 200, 99.8479
2017-09-01 17:41:24.9, 94.36398, 1.623027, 200, 99.84888
2017-09-01 17:41:40.0, 94.40201, 1.622888, 200, 99.85059
2017-09-01 17:41:55.1, 94.20023, 1.623624, 200, 99.84668
2017-09-01 17:42:10.2, 94.02582, 1.62426, 200, 99.84546
2017-09-01 17:42:25.2, 93.84811, 1.624909, 200, 99.84766
2017-09-01 17:42:40.3, 93.61469, 1.625762, 200, 99.84668
2017-09-01 17:42:55.4, 93.34631, 1.626743, 200, 99.8457
2017-09-01 17:43:10.5, 93.50632, 1.626158, 200, 99.84863
2017-09-01 17:43:25.5, 93.2554, 1.627076, 200, 99.84644
2017-09-01 17:43:40.6, 93.52716, 1.626082, 200, 99.84937
2017-09-01 17:43:55.7, 93.15356, 1.627449, 200, 99.84839
2017-09-01 17:44:10.8, 92.85818, 1.628532, 200, 99.84814
2017-09-01 17:44:25.8, 92.84995, 1.628562, 200, 99.84644
2017-09-01 17:44:40.9, 92.35416, 1.630383, 200, 99.84741
2017-09-01 17:44:56.0, 92.52731, 1.629746, 200, 99.84546
2017-09-01 17:45:11.1, 92.46655, 1.62997, 200, 99.84668
2017-09-01 17:45:26.2, 92.10754, 1.63129, 200, 99.84766
2017-09-01 17:45:41.2, 91.89325, 1.632079, 200, 99.84766
2017-09-01 17:45:56.3, 92.06259, 1.631455, 200, 99.84326
2017-09-01 17:46:11.4, 91.51123, 1.633488, 200, 99.84839
2017-09-01 17:46:26.5, 91.39874, 1.633903, 200, 99.84839
2017-09-01 17:46:41.5, 91.33905, 1.634123, 200, 99.84863
2017-09-01 17:46:56.6, 91.20215, 1.634629, 200, 99.85059
2017-09-01 17:47:11.7, 91.29141, 1.634299, 200, 99.84961
2017-09-01 17:47:26.8, 90.96774, 1.635496, 200, 99.85107
2017-09-01 17:47:41.8, 90.56454, 1.636989, 200, 99.84912
2017-09-01 17:47:56.9, 90.50244, 1.637219, 200, 99.84888
2017-09-01 17:48:12.0, 90.34683, 1.637796, 200, 99.85132
2017-09-01 17:48:27.1, 90.41397, 1.637547, 200, 99.84912
2017-09-01 17:48:42.1, 90.08905, 1.638753, 200, 99.84888
2017-09-01 17:48:57.2, 89.86252, 1.639595, 200, 99.85107
2017-09-01 17:49:12.3, 89.49551, 1.640961, 200, 99.85327
2017-09-01 17:49:27.4, 89.45764, 1.641102, 200, 99.85254
2017-09-01 17:49:42.4, 89.19452, 1.642082, 200, 99.84888
2017-09-01 17:49:57.5, 89.14795, 1.642256, 200, 99.85156
2017-09-01 17:50:12.6, 89.10422, 1.642419, 200, 99.85132
2017-09-01 17:50:27.7, 88.69382, 1.643952, 200, 99.84912
2017-09-01 17:50:42.7, 88.60971, 1.644266, 200, 99.84863
2017-09-01 17:50:57.8, 88.38962, 1.64509, 200, 99.85034
2017-09-01 17:51:12.9, 88.17517, 1.645893, 200, 99.85571
2017-09-01 17:51:28.0, 87.88455, 1.646982, 200, 99.84741
2017-09-01 17:51:43.0, 87.89859, 1.64693, 200, 99.85132
2017-09-01 17:51:58.1, 87.69638, 1.647689, 200, 99.85083
2017-09-01 17:52:13.2, 87.255, 1.649348, 200, 99.85205
2017-09-01 17:52:28.3, 86.85773, 1.650844, 200, 99.85034
2017-09-01 17:52:43.4, 86.61441, 1.651762, 200, 99.85303
2017-09-01 17:52:58.4, 86.4906, 1.652229, 200, 99.84985
2017-09-01 17:53:13.4, 86.60925, 1.651781, 200, 99.84912
2017-09-01 17:53:28.5, 86.57394, 1.651914, 200, 99.85181
2017-09-01 17:53:43.6, 87.19641, 1.649568, 200, 99.84961
2017-09-01 17:53:58.6, 87.2233, 1.649467, 200, 99.85059
2017-09-01 17:54:13.7, 87.44064, 1.64865, 200, 99.84912
2017-09-01 17:54:28.8, 87.91751, 1.646859, 200, 99.85059
2017-09-01 17:54:43.9, 88.35727, 1.645211, 200, 99.84692
2017-09-01 17:54:58.9, 89.21661, 1.642, 200, 99.84766
2017-09-01 17:55:14.0, 89.45377, 1.641116, 200, 99.84668
2017-09-01 17:55:29.1, 89.93835, 1.639313, 200, 99.84741
2017-09-01 17:55:44.2, 90.44299, 1.637439, 200, 99.84644
2017-09-01 17:55:59.2, 90.97672, 1.635463, 200, 99.84473
2017-09-01 17:56:14.3, 91.10532, 1.634987, 200, 99.84595
2017-09-01 17:56:29.4, 91.64987, 1.632976, 200, 99.84155
2017-09-01 17:56:44.5, 91.9454, 1.631887, 200, 99.84424
2017-09-01 17:56:59.5, 92.17502, 1.631042, 200, 99.84399
2017-09-01 17:57:14.6, 92.63525, 1.62935, 200, 99.84619
2017-09-01 17:57:29.7, 92.66406, 1.629244, 200, 99.84351
2017-09-01 17:57:44.8, 92.98434, 1.628069, 200, 99.84448
2017-09-01 17:57:59.8, 92.89954, 1.62838, 200, 99.84497
2017-09-01 17:58:14.9, 93.25464, 1.627079, 200, 99.84351
2017-09-01 17:58:30.0, 93.43643, 1.626413, 200, 99.84399
2017-09-01 17:58:45.1, 93.52805, 1.626078, 200, 99.84497
2017-09-01 17:59:00.1, 93.69922, 1.625453, 200, 99.84497
2017-09-01 17:59:15.2, 93.85345, 1.624889, 200, 99.8418
2017-09-01 17:59:30.3, 93.66431, 1.62558, 200, 99.84033
2017-09-01 17:59:45.4, 93.707, 1.625424, 200, 99.84131
2017-09-01 18:00:00.4, 93.96774, 1.624472, 200, 99.84619
2017-09-01 18:00:15.5, 93.86838, 1.624835, 200, 99.84058
2017-09-01 18:00:30.6, 94.10339, 1.623977, 200, 99.84521
2017-09-01 18:00:45.7, 94.09073, 1.624023, 200, 99.84106
2017-09-01 18:01:00.8, 94.13541, 1.62386, 200, 99.84448
2017-09-01 18:01:15.8, 94.10565, 1.623969, 200, 99.84253
2017-09-01 18:01:30.9, 94.07401, 1.624084, 200, 99.84375
2017-09-01 18:01:46.0, 94.3461, 1.623092, 200, 99.84253
2017-09-01 18:02:01.1, 94.21677, 1.623564, 200, 99.83936
2017-09-01 18:02:16.1, 94.59225, 1.622196, 200, 99.84082
2017-09-01 18:02:31.1, 94.96231, 1.62085, 200, 99.84277
2017-09-01 18:02:46.2, 95.32736, 1.619525, 200, 99.84131
2017-09-01 18:03:01.2, 95.77145, 1.617915, 200, 99.84009
2017-09-01 18:03:16.3, 95.7352, 1.618046, 200, 99.83936
2017-09-01 18:03:31.3, 95.72055, 1.618099, 200, 99.84326
2017-09-01 18:03:46.3, 95.80078, 1.617809, 200, 99.84253
2017-09-01 18:04:01.4, 96.05292, 1.616897, 200, 99.84229
2017-09-01 18:04:16.4, 95.82645, 1.617716, 200, 99.84277
2017-09-01 18:04:31.5, 95.72055, 1.6181, 200, 99.83887
2017-09-01 18:04:46.6, 95.53278, 1.61878, 200, 99.84399
2017-09-01 18:05:01.7, 95.37164, 1.619364, 200, 99.84277
2017-09-01 18:05:16.7, 95.17474, 1.620078, 200, 99.84155
2017-09-01 18:05:31.8, 95.2049, 1.619969, 200, 99.84253
2017-09-01 18:05:46.9, 94.84875, 1.621263, 200, 99.84473
2017-09-01 18:06:02.0, 95.0386, 1.620573, 200, 99.84253
2017-09-01 18:06:17.1, 94.8118, 1.621397, 200, 99.84326
2017-09-01 18:06:32.1, 94.61072, 1.622128, 200, 99.84253
2017-09-01 18:06:47.2, 94.51901, 1.622462, 200, 99.84277
2017-09-01 18:07:02.3, 94.30359, 1.623247, 200, 99.84644
2017-09-01 18:07:17.4, 94.34708, 1.623089, 200, 99.84546
2017-09-01 18:07:32.5, 93.79373, 1.625107, 200, 99.84204
2017-09-01 18:07:47.5, 93.56854, 1.62593, 200, 99.84131
2017-09-01 18:08:02.6, 93.68207, 1.625515, 200, 99.84253
2017-09-01 18:08:17.7, 93.54495, 1.626016, 200, 99.8457
2017-09-01 18:08:32.7, 93.36032, 1.626692, 200, 99.84253
2017-09-01 18:08:47.8, 93.31949, 1.626841, 200, 99.84277
2017-09-01 18:09:02.9, 93.02817, 1.627909, 200, 99.84399
2017-09-01 18:09:17.9, 92.53983, 1.6297, 200, 99.84277
2017-09-01 18:09:32.9, 92.95813, 1.628165, 200, 99.84497
2017-09-01 18:09:48.0, 92.62061, 1.629404, 200, 99.84326
2017-09-01 18:10:03.1, 92.53799, 1.629707, 200, 99.83765
2017-09-01 18:10:18.2, 92.1441, 1.631155, 200, 99.84058
2017-09-01 18:10:33.2, 91.97827, 1.631766, 200, 99.84351
2017-09-01 18:10:48.3, 91.82791, 1.63232, 200, 99.84204
2017-09-01 18:11:03.4, 91.70303, 1.63278, 200, 99.84033
2017-09-01 18:11:18.5, 91.66544, 1.632919, 200, 99.84082
2017-09-01 18:11:33.5, 91.35266, 1.634073, 200, 99.84302
2017-09-01 18:11:48.6, 91.42368, 1.633811, 200, 99.8418
2017-09-01 18:12:03.7, 91.21603, 1.634578, 200, 99.84131
2017-09-01 18:12:18.8, 90.84619, 1.635946, 200, 99.84229
2017-09-01 18:12:33.9, 90.4729, 1.637329, 200, 99.84082
2017-09-01 18:12:48.9, 90.57645, 1.636945, 200, 99.84253
2017-09-01 18:13:04.0, 90.3399, 1.637822, 200, 99.84326
2017-09-01 18:13:19.0, 90.59586, 1.636873, 200, 99.84302
2017-09-01 18:13:34.1, 90.21585, 1.638282, 200, 99.83984
2017-09-01 18:13:49.1, 89.90836, 1.639425, 200, 99.83984
2017-09-01 18:14:04.2, 89.67947, 1.640276, 200, 99.83667
2017-09-01 18:14:19.3, 89.84256, 1.639669, 200, 99.83789
2017-09-01 18:14:34.4, 89.5304, 1.640831, 200, 99.84277
2017-09-01 18:14:49.5, 89.14847, 1.642254, 200, 99.84326
2017-09-01 18:15:04.5, 89.27097, 1.641797, 200, 99.84351
2017-09-01 18:15:19.6, 88.9707, 1.642918, 200, 99.83716
2017-09-01 18:15:34.7, 88.91998, 1.643107, 200, 99.84058
2017-09-01 18:15:49.7, 88.70413, 1.643913, 200, 99.83911
2017-09-01 18:16:04.8, 88.48071, 1.644749, 200, 99.84155
2017-09-01 18:16:19.9, 88.51105, 1.644635, 200, 99.83984
2017-09-01 18:16:35.0, 87.90817, 1.646894, 200, 99.84033
2017-09-01 18:16:50.0, 87.59772, 1.648059, 200, 99.83887
2017-09-01 18:17:05.1, 87.37787, 1.648886, 200, 99.83789
2017-09-01 18:17:20.2, 87.42242, 1.648718, 200, 99.84009
2017-09-01 18:17:35.3, 87.62408, 1.64796, 200, 99.83887
2017-09-01 18:17:50.3, 87.9223, 1.646841, 200, 99.83667
2017-09-01 18:18:05.4, 88.33606, 1.64529, 200, 99.83716
2017-09-01 18:18:20.5, 88.71124, 1.643887, 200, 99.83765
2017-09-01 18:18:35.6, 89.52432, 1.640853, 200, 99.83496
2017-09-01 18:18:50.7, 89.82086, 1.63975, 200, 99.83716
2017-09-01 18:19:05.7, 90.36578, 1.637726, 200, 99.83643
2017-09-01 18:19:20.8, 90.67517, 1.636579, 200, 99.83521
2017-09-01 18:19:35.9, 90.9809, 1.635447, 200, 99.8374
2017-09-01 18:19:51.0, 91.27011, 1.634378, 200, 99.83154
2017-09-01 18:20:06.0, 91.72336, 1.632705, 200, 99.83521
2017-09-01 18:20:21.1, 92.05774, 1.631473, 200, 99.83252
2017-09-01 18:20:36.2, 92.27942, 1.630658, 200, 99.83398
2017-09-01 18:20:51.3, 92.34583, 1.630413, 200, 99.83252
2017-09-01 18:21:06.3, 92.6279, 1.629377, 200, 99.83447
2017-09-01 18:21:21.4, 92.96057, 1.628156, 200, 99.83252
2017-09-01 18:21:36.5, 93.53287, 1.626061, 200, 99.83423
2017-09-01 18:21:51.6, 93.46234, 1.626319, 200, 99.83374
2017-09-01 18:22:06.6, 93.60132, 1.62581, 200, 99.83423
2017-09-01 18:22:21.7, 93.72018, 1.625376, 200, 99.83032
2017-09-01 18:22:36.8, 93.8689, 1.624833, 200, 99.83301
2017-09-01 18:22:51.9, 94.00385, 1.62434, 200, 99.83179
2017-09-01 18:23:06.9, 94.08539, 1.624043, 200, 99.83228
2017-09-01 18:23:22.0, 94.2276, 1.623524, 200, 99.83154
2017-09-01 18:23:37.1, 94.47867, 1.622609, 200, 99.83203
2017-09-01 18:23:52.1, 94.48975, 1.622569, 200, 99.83374
2017-09-01 18:24:07.2, 94.5365, 1.622399, 200, 99.83374
2017-09-01 18:24:22.2, 94.67419, 1.621897, 200, 99.83374
2017-09-01 18:24:37.3, 94.52328, 1.622447, 200, 99.83374
2017-09-01 18:24:52.4, 94.49796, 1.622539, 200, 99.83154
2017-09-01 18:25:07.4, 94.76181, 1.621579, 200, 99.83203
2017-09-01 18:25:22.5, 94.62064, 1.622092, 200, 99.83154
2017-09-01 18:25:37.6, 94.73746, 1.621667, 200, 99.83276
2017-09-01 18:25:52.7, 94.76855, 1.621554, 200, 99.8335
2017-09-01 18:26:07.8, 94.78314, 1.621501, 200, 99.83496
2017-09-01 18:26:22.8, 95.05792, 1.620503, 200, 99.83203
2017-09-01 18:26:37.9, 95.01563, 1.620656, 200, 99.83398
2017-09-01 18:26:53.0, 95.29135, 1.619655, 200, 99.83594
2017-09-01 18:27:08.1, 95.52512, 1.618807, 200, 99.83447
2017-09-01 18:27:23.1, 95.9227, 1.617368, 200, 99.83447
2017-09-01 18:27:38.2, 95.94775, 1.617277, 200, 99.83423
2017-09-01 18:27:53.3, 96.02945, 1.616982, 200, 99.83618
2017-09-01 18:28:08.4, 96.13879, 1.616586, 200, 99.8335
2017-09-01 18:28:23.4, 95.6756, 1.618262, 200, 99.83301
2017-09-01 18:28:38.5, 95.80722, 1.617786, 200, 99.8313
2017-09-01 18:28:53.6, 95.48047, 1.618969, 200, 99.83472
2017-09-01 18:29:08.7, 95.58939, 1.618575, 200, 99.83716
2017-09-01 18:29:23.7, 95.40567, 1.619241, 200, 99.83301
2017-09-01 18:29:38.8, 95.09464, 1.620369, 200, 99.83301
2017-09-01 18:29:53.9, 95.33615, 1.619493, 200, 99.83301
2017-09-01 18:30:09.0, 94.91403, 1.621025, 200, 99.8335
2017-09-01 18:30:24.0, 94.91888, 1.621008, 200, 99.83521
2017-09-01 18:30:39.0, 94.72522, 1.621712, 200, 99.83179
2017-09-01 18:30:54.1, 94.57614, 1.622254, 200, 99.83521
2017-09-01 18:31:09.2, 94.25305, 1.623431, 200, 99.83276
2017-09-01 18:31:24.2, 94.32455, 1.623171, 200, 99.83228
2017-09-01 18:31:39.3, 94.16501, 1.623752, 200, 99.83472
2017-09-01 18:31:54.4, 93.73782, 1.625312, 200, 99.83008
2017-09-01 18:32:09.5, 93.85672, 1.624877, 200, 99.83203
2017-09-01 18:32:24.5, 93.47525, 1.626271, 200, 99.83032
2017-09-01 18:32:39.6, 93.36743, 1.626666, 200, 99.8335
2017-09-01 18:32:54.7, 93.16824, 1.627395, 200, 99.8335
2017-09-01 18:33:09.8, 92.98242, 1.628076, 200, 99.83472
2017-09-01 18:33:24.8, 93.03033, 1.627901, 200, 99.83179
2017-09-01 18:33:39.9, 92.73267, 1.628992, 200, 99.82935
2017-09-01 18:33:55.0, 92.42502, 1.630122, 200, 99.8313
2017-09-01 18:34:10.1, 92.63544, 1.629349, 200, 99.83398
2017-09-01 18:34:25.2, 92.32977, 1.630472, 200, 99.83154
2017-09-01 18:34:40.2, 92.12872, 1.631212, 200, 99.82983
2017-09-01 18:34:55.3, 91.62439, 1.63307, 200, 99.83325
2017-09-01 18:35:10.4, 91.87485, 1.632147, 200, 99.83325
2017-09-01 18:35:25.5, 91.66681, 1.632914, 200, 99.83008
2017-09-01 18:35:40.5, 91.55209, 1.633337, 200, 99.82935
2017-09-01 18:35:55.6, 91.24344, 1.634476, 200, 99.83057
2017-09-01 18:36:10.6, 90.94174, 1.635592, 200, 99.83057
2017-09-01 18:36:25.7, 90.76413, 1.63625, 200, 99.83057
2017-09-01 18:36:40.7, 90.51019, 1.63719, 200, 99.83154
2017-09-01 18:36:55.8, 90.51419, 1.637176, 200, 99.83008
2017-09-01 18:37:10.9, 90.46658, 1.637352, 200, 99.83252
2017-09-01 18:37:26.0, 90.30582, 1.637948, 200, 99.83105
2017-09-01 18:37:41.0, 90.15964, 1.638491, 200, 99.82959
2017-09-01 18:37:56.1, 89.78043, 1.6399, 200, 99.83008
2017-09-01 18:38:11.2, 89.55914, 1.640724, 200, 99.82642
2017-09-01 18:38:26.3, 89.37637, 1.641405, 200, 99.82788
2017-09-01 18:38:41.3, 88.90546, 1.643161, 200, 99.82886
2017-09-01 18:38:56.4, 89.202, 1.642055, 200, 99.82715
2017-09-01 18:39:11.5, 88.9808, 1.64288, 200, 99.82666
2017-09-01 18:39:26.6, 88.89117, 1.643215, 200, 99.82568
2017-09-01 18:39:41.7, 88.42822, 1.644945, 200, 99.82813
2017-09-01 18:39:56.7, 88.34082, 1.645272, 200, 99.82813
2017-09-01 18:40:11.8, 88.33194, 1.645306, 200, 99.8252
2017-09-01 18:40:26.9, 88.17963, 1.645876, 200, 99.82397
2017-09-01 18:40:42.0, 87.89795, 1.646932, 200, 99.82715
2017-09-01 18:40:57.0, 87.58112, 1.648122, 200, 99.82422
2017-09-01 18:41:12.1, 86.92368, 1.650595, 200, 99.82495
